file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc
0046.jpeg,15,10,5,0.8031235431235432,1.211111111111111,0.21979797979797985,0.02222222222222222
0047.jpg,9,8,5,0.5981481481481481,1.2685185185185184,0.459241103848947,0.19444444444444445
0049.jpg,12,7,5,0.6453947502131342,0.7507936507936507,0.3616593336420923,0.34920634920634924
0050.jpg,7,9,5,0.3110599078341014,0.34285714285714286,0.6846361185983828,0.6571428571428571
0051.jpg,6,6,2,0.706060606060606,0.8055555555555555,0.2995614035087719,0.1111111111111111
0052.jpeg,11,13,3,0.8232872200263505,1.0,0.21197552447552448,0.0
0053.jpg,6,4,0,1.0,1.0,0.0,0.0
0054.jpg,8,3,2,0.7655677655677655,0.90625,0.23344017094017094,0.09375
0055.jpg,20,0,0,1.0,1.0,0.0,0.0
0057.jpg,14,21,8,0.4709802102659245,0.5416666666666666,0.5418359418359419,0.40476190476190477
0058.jpg,12,1,0,1.0,1.0,0.0,0.0
0059.jpg,7,7,1,0.8881987577639752,0.9642857142857143,0.12142857142857143,0.0
0060.jpg,7,8,1,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285
0061.jpg,6,10,3,0.5730158730158731,0.7388888888888889,0.43737756301423536,0.2111111111111111
0062.jpg,13,11,3,0.7884615384615384,0.8557692307692307,0.21195471195471194,0.07692307692307693
0063.jpg,12,6,5,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667
0064.jpg,29,35,28,0.04725177776152289,0.07820197044334976,0.9500624425119074,0.9217980295566501
0065.jpg,12,13,2,0.8496527777777777,0.9083333333333333,0.15744731800766285,0.09166666666666667
0066.jpg,6,8,6,0.054503367003367,0.2888888888888889,0.9577922077922079,0.5
0067.jpeg,9,11,7,0.3223734198843011,0.8296296296296295,0.7160905093079732,0.5333333333333333
0068.jpg,16,1,0,1.0,1.0,0.0,0.0
0069.jpg,18,21,17,0.10823569427899754,0.32221019721019717,0.8804100129924926,0.6555675805675806
0070.jpg,10,12,4,0.7216666666666667,0.95,0.3327272727272727,0.3
0071.jpg,7,8,2,0.7666040100250626,0.9523809523809523,0.2494270435446906,0.0
0072.jpg,27,23,8,0.7267685892347139,0.8135802469135802,0.2752354887567306,0.2111111111111111
0073.jpeg,10,3,1,0.9,0.9,0.1,0.1
0074.jpg,10,8,7,0.3066666666666667,0.35,0.6928571428571428,0.65
0075.jpg,6,3,0,1.0,1.0,0.0,0.0
0076.jpg,11,3,0,1.0,1.0,0.0,0.0
0077.jpg,6,6,3,0.5238095238095238,0.6666666666666666,0.5,0.3333333333333333
0078.png,21,7,1,0.9574829931972789,0.9619047619047618,0.041666666666666664,0.0380952380952381
0080.jpg,23,25,10,0.6421339432142854,0.8362318840579711,0.36637073522791963,0.17681159420289855
0081.jpg,18,9,1,0.9595959595959597,1.0555555555555556,0.04545454545454545,0.0
0082.jpg,9,3,1,0.9320987654320988,0.9444444444444444,0.06666666666666667,0.0
0083.jpg,7,3,0,1.0,1.0,0.0,0.0
0084.jpeg,10,1,0,1.0,1.0,0.0,0.0
0086.jpg,6,1,0,1.0,1.0,0.0,0.0
0089.jpeg,11,9,7,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364
0090.jpeg,14,19,6,0.6157493300350444,0.761904761904762,0.39168755221386803,0.2380952380952381
0091.jpg,15,1,0,1.0,1.0,0.0,0.0
0093.jpg,17,20,11,0.40650911985724686,0.5176470588235295,0.6141845965375378,0.6470588235294118
0094.jpg,15,9,6,0.6725700225700225,0.9317460317460317,0.3479076479076479,0.15714285714285714
0095.jpg,18,10,0,1.0,1.0,0.0,0.0
0096.jpg,6,4,0,1.0,1.0,0.0,0.0
0097.jpg,12,12,8,0.41666666666666674,0.7777777777777778,0.6314814814814815,0.5
0098.jpg,11,9,6,0.4755638387866703,0.5742424242424242,0.5304875375408291,0.3924242424242425
0099.jpg,10,8,0,1.0,1.0,0.0,0.0
0100.jpg,5,1,0,1.0,1.0,0.0,0.0
0101.jpg,13,28,3,0.8209829635224106,0.8367269984917045,0.17552840534206993,0.16327300150829563
0103.jpg,12,16,11,0.1701703406467311,0.22718253968253968,0.8496251742306263,0.6547619047619048
0104.jpg,12,2,0,1.0,1.0,0.0,0.0
0105.jpg,15,11,9,0.45406294709363754,0.5861111111111111,0.5541636141636143,0.4972222222222222
0106.jpg,12,16,7,0.43449667616334287,0.5194444444444445,0.5731941238849728,0.425
0107.jpg,6,0,0,1.0,1.0,0.0,0.0
0108.jpg,9,9,5,0.47619047619047616,0.5555555555555556,0.5238095238095238,0.4444444444444444
0109.jpg,4,5,1,0.8571428571428572,0.875,0.15384615384615385,0.0
0110.jpg,5,5,0,1.0,1.0,0.0,0.0
0111.jpg,13,14,8,0.4882340778236811,0.7000000000000001,0.536730525519882,0.19230769230769232
0112.jpg,8,10,3,0.6763882669055082,0.7312500000000001,0.3269627192982456,0.175
0113.jpg,8,12,3,0.7266042780748663,0.9166666666666666,0.2833333333333333,0.08333333333333333
0114.jpg,8,9,2,0.8367224880382775,0.8571428571428571,0.16365131578947367,0.08928571428571429
0115.jpg,5,3,0,1.0,1.0,0.0,0.0
0116.jpg,15,8,4,0.7611111111111112,0.7666666666666667,0.24057971014492754,0.23333333333333334
0117.jpg,6,12,1,0.8793103448275863,0.9166666666666666,0.1282051282051282,0.0
0118.jpeg,6,13,1,0.8666666666666667,1.1666666666666667,0.14444444444444446,0.0
0119.jpeg,5,9,4,0.2697674418604651,0.26666666666666666,0.7315789473684211,0.7333333333333333
0120.jpg,13,11,4,0.7435897435897435,0.7692307692307693,0.28205128205128205,0.23076923076923078
0121.jpg,5,10,3,0.6123792486583184,1.0666666666666667,0.4872727272727273,0.6
0122.jpg,26,24,16,0.445801377501971,0.5481684981684981,0.5595502576695475,0.29450549450549446
0123.jpg,5,6,5,0.0,0.0,1.0,1.0
0124.jpg,8,6,5,0.375,0.375,0.625,0.625
0127.jpeg,8,9,4,0.5133928571428572,0.53125,0.49,0.5
0128.jpg,15,10,7,0.5884382284382284,0.8,0.43460243460243464,0.26666666666666666
0129.jpg,10,6,4,0.6807598039215687,0.775,0.3229166666666667,0.1
0130.jpg,10,8,6,0.45949074074074076,0.5833333333333334,0.5497252747252748,0.4666666666666666
0131.jpeg,12,15,7,0.4662698412698412,0.5277777777777778,0.5357624831309041,0.47222222222222215
0132.jpg,6,7,4,0.35000000000000003,0.39999999999999997,0.65625,0.5666666666666667
0133.jpg,5,13,4,0.24905263157894736,0.6,0.7678362573099415,0.4666666666666666
0134.jpg,8,9,8,0.0,0.0,1.0,1.0
0135.jpg,9,6,3,0.7117064544650752,0.8148148148148149,0.2943722943722944,0.0925925925925926
0136.jpg,8,13,8,0.039558531746031744,0.22916666666666666,0.9733391608391608,0.7708333333333333
0137.jpg,8,6,4,0.5234375,0.5625,0.47413793103448276,0.4375
0139.jpg,8,12,6,0.275,0.375,0.7375,0.625
0140.jpg,12,12,9,0.3061143039591316,0.40158730158730155,0.7213541666666666,0.530952380952381
0142.jpeg,12,12,12,0.0370343137254902,0.22916666666666666,0.9726644251362119,0.7916666666666666
0143.jpg,5,3,0,1.0,1.0,0.0,0.0
0145.jpg,9,2,0,1.0,1.0,0.0,0.0
0146.jpg,12,9,5,0.6156921539230386,0.6666666666666666,0.3880070546737213,0.38888888888888884
0147.jpeg,8,7,5,0.4236111111111111,0.65625,0.575,0.34375
0148.jpg,12,13,12,0.0026041666666666665,0.016666666666666666,0.9970238095238096,0.9833333333333334
0149.jpg,18,7,0,1.0,1.0,0.0,0.0
0151.jpg,6,1,0,1.0,1.0,0.0,0.0
0152.jpg,5,47,1,0.8307692307692307,0.8666666666666668,0.16363636363636364,0.13333333333333333
0153.jpg,21,18,8,0.637037037037037,0.6712018140589568,0.36904761904761907,0.36054421768707484
0154.jpeg,7,3,1,0.9107142857142857,1.0,0.08928571428571429,0.0
0155.jpg,5,10,3,0.5167676767676767,0.9,0.47777777777777775,0.1
0156.jpeg,10,1,0,1.0,1.0,0.0,0.0
0157.jpg,10,16,8,0.23181818181818184,0.325,0.7747368421052632,0.675
0158.jpg,5,5,5,0.368843984962406,0.26666666666666666,0.9857142857142858,0.7333333333333333
0160.jpg,6,5,3,0.5781499202551834,0.7083333333333334,0.45625,0.16666666666666666
0161.jpg,16,7,3,0.8333333333333334,0.859375,0.16319444444444445,0.140625
0162.jpeg,17,16,11,0.35855614973262034,0.38431372549019605,0.6404411764705882,0.615686274509804
0163.jpg,8,13,6,0.3505494505494505,0.7083333333333334,0.653051948051948,0.2916666666666667
0164.jpg,11,12,8,0.3205882352941176,0.4318181818181818,0.683968058968059,0.6363636363636364
0165.jpg,13,8,3,0.7788461538461539,0.7948717948717949,0.2252747252747253,0.15384615384615385
0166.jpg,8,7,6,0.25,0.25,0.75,0.75
0167.jpg,11,12,4,0.6790880456569606,0.7909090909090909,0.32040922040922043,0.16363636363636364
0168.jpg,15,13,11,0.26666666666666666,0.26666666666666666,0.7333333333333333,0.7333333333333333
0169.jpeg,11,16,10,0.17394897592526049,0.23829201101928374,0.8404040404040404,0.753443526170799
0170.jpeg,9,12,9,0.11931995020230317,0.32407407407407407,0.9044159544159545,0.8148148148148148
0171.jpg,16,15,13,0.25100695990138,0.34756944444444443,0.7573958333333335,0.7149305555555556
0172.jpg,13,17,0,1.0,1.0,0.0,0.0
0173.jpg,10,20,10,0.05,0.05,0.96,0.9
0174.jpg,12,1,0,1.0,1.0,0.0,0.0
0175.jpg,6,9,6,0.00980392156862745,0.041666666666666664,0.9880952380952381,0.9583333333333334
0176.jpg,13,11,9,0.3461996336996337,0.38461538461538464,0.6580100810870042,0.5192307692307693
0177.jpg,15,5,2,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.13333333333333333
0178.jpg,14,11,8,0.49076723652994836,0.6168831168831169,0.511597019760285,0.35714285714285715
0179.jpg,13,14,6,0.5467032967032966,0.6153846153846154,0.45329670329670335,0.38461538461538464
0180.jpg,12,14,10,0.27745980870980874,0.4583333333333333,0.7668650793650794,0.75
0181.jpg,11,8,7,0.37110016420361247,0.42424242424242425,0.6325757575757576,0.5303030303030304
0182.jpg,9,13,4,0.6290269151138717,0.8055555555555556,0.3746005202526942,0.14814814814814814
0183.jpg,8,6,0,1.0,1.0,0.0,0.0
0184.jpg,15,2,0,1.0,1.0,0.0,0.0
0185.jpg,11,4,0,1.0,1.0,0.0,0.0
0186.jpg,17,15,11,0.3915032679738562,0.5,0.6122260668973472,0.5
0187.jpg,5,26,2,0.71,0.8166666666666667,0.2869281045751634,0.2333333333333333
0190.jpg,7,1,0,1.0,1.0,0.0,0.0
0191.jpg,11,4,2,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182
0193.jpg,8,1,0,1.0,1.0,0.0,0.0
0194.jpg,8,16,5,0.47018543956043957,0.7291666666666666,0.5575586694007747,0.4895833333333333
0195.jpg,12,1,0,1.0,1.0,0.0,0.0
0196.jpg,11,9,6,0.4606060606060606,0.4727272727272727,0.541958041958042,0.45454545454545453
0197.jpg,11,10,7,0.39545454545454545,0.45454545454545453,0.6042780748663101,0.5454545454545454
0198.jpg,9,8,4,0.5629992737835875,0.6370370370370371,0.4364483382005285,0.36296296296296293
0199.jpg,8,6,5,0.4490196078431372,0.6458333333333334,0.5551835317460317,0.4375
0200.jpg,9,13,8,0.17021127021127022,0.4444444444444444,0.8424630924630925,0.48148148148148145
0201.jpg,10,12,6,0.5506512605042017,1.05,0.4837233354880414,0.4
0202.jpg,19,8,1,0.9490131578947368,0.9590643274853801,0.050751879699248124,0.04093567251461988
0203.jpg,10,4,2,0.8383838383838385,0.9166666666666666,0.1625,0.05
0204.jpg,26,14,3,0.9236596736596738,1.0512820512820513,0.09102564102564102,0.0
0205.jpg,10,4,3,0.7,0.7,0.3,0.3
0206.jpg,10,5,3,0.7,0.7,0.3,0.3
0207.jpg,5,2,0,1.0,1.0,0.0,0.0
0208.jpg,12,14,9,0.26906457739791073,0.33134920634920634,0.7347357503607505,0.626984126984127
0209.jpg,9,17,7,0.25695970695970693,0.40476190476190477,0.7412457912457913,0.5952380952380953
0210.jpg,8,8,2,0.7765151515151516,0.9166666666666666,0.22291666666666665,0.08333333333333333
0211.jpg,6,2,0,1.0,1.0,0.0,0.0
0212.jpg,9,7,4,0.5736961451247166,0.7407407407407408,0.43262411347517726,0.3333333333333333
0213.jpg,11,11,10,0.14031620553359683,0.21818181818181817,0.8702153110047847,0.7272727272727273
0214.jpg,11,32,0,1.0,1.0,0.0,0.0
0215.jpg,13,13,11,0.19230769230769232,0.23076923076923078,0.8269230769230769,0.7692307692307693
0216.jpg,12,18,9,0.29831529581529587,0.3854166666666667,0.7000204750204749,0.6145833333333334
0217.jpg,10,11,6,0.4229166666666667,0.525,0.5882183908045977,0.5
0218.jpg,5,7,4,0.21600000000000003,0.3,0.7833333333333333,0.7
0219.jpg,10,10,3,0.7307692307692307,0.8,0.2692307692307693,0.2
0220.jpg,10,5,2,0.8,0.8,0.2,0.2
0221.jpg,9,11,8,0.19176379176379177,0.4166666666666667,0.8090643274853802,0.5833333333333334
0222.jpg,16,6,2,0.8967307692307692,0.9166666666666667,0.10239624505928854,0.08333333333333333
0223.jpg,11,4,1,0.9166666666666665,0.9393939393939393,0.08181818181818182,0.0606060606060606
0224.jpg,11,5,4,0.6789964034282217,0.9772727272727273,0.3416666666666667,0.09090909090909091
0225.jpg,7,5,5,0.35989229024943314,0.7619047619047619,0.6361152153168961,0.23809523809523808
0226.jpg,9,3,0,1.0,1.0,0.0,0.0
0227.jpg,8,1,0,1.0,1.0,0.0,0.0
0228.jpg,8,14,7,0.26734891322899734,0.8416666666666667,0.7923874736374736,0.3375
0229.jpg,8,1,0,1.0,1.0,0.0,0.0
0230.jpg,7,5,4,0.4387755102040817,0.5714285714285714,0.5612244897959184,0.42857142857142855
0231.jpg,10,8,2,0.8585858585858587,0.9833333333333332,0.13333333333333336,0.06666666666666667
