file_name,precision,recall,f1_score,tp,fp,fn
0001.jpg,0.5,0.5,0.5,3,3,3
0002.jpg,0.5714285714285714,0.8,0.6666666666666666,4,3,1
0003.jpg,0.625,0.7142857142857143,0.6666666666666666,5,3,2
0004.jpg,0.2857142857142857,0.3333333333333333,0.30769230769230765,2,5,4
0006.jpg,0.75,1.0,0.8571428571428571,3,1,0
0007.jpg,0.8333333333333334,1.0,0.9090909090909091,5,1,0
0009.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2
0010.jpg,1.0,0.4,0.5714285714285715,2,0,3
0011.jpg,1.0,1.0,1.0,3,0,0
0012.jpg,0.7,0.7777777777777778,0.7368421052631577,7,3,2
0013.jpg,0.5,0.75,0.6,3,3,1
0014.jpg,0.3333333333333333,0.25,0.28571428571428575,1,2,3
0015.jpg,1.0,0.42857142857142855,0.6,3,0,4
0016.jpg,0.6,0.5,0.5454545454545454,3,2,3
0017.jpg,1.0,0.6363636363636364,0.7777777777777778,7,0,4
0018.jpeg,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2
0019.jpg,0.3333333333333333,0.2,0.25,1,2,4
0020.jpg,0.5714285714285714,0.6666666666666666,0.6153846153846153,4,3,2
0022.jpg,0.4444444444444444,0.4,0.4210526315789474,4,5,6
0023.jpg,0.16666666666666666,0.25,0.2,1,5,3
0024.jpg,0.75,0.5,0.6,3,1,3
0025.jpg,0.4,0.5,0.4444444444444445,2,3,2
0026.jpg,1.0,0.75,0.8571428571428571,3,0,1
0027.jpg,0.2857142857142857,0.4,0.3333333333333333,2,5,3
0028.jpg,0.5,0.6,0.5454545454545454,3,3,2
0029.jpg,0.3333333333333333,0.5555555555555556,0.4166666666666667,5,10,4
0030.jpg,0.5,0.6,0.5454545454545454,3,3,2
0031.jpg,1.0,1.0,1.0,7,0,0
0032.jpg,0.25,0.25,0.25,1,3,3
0035.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0036.jpg,0.8333333333333334,0.625,0.7142857142857143,5,1,3
0037.jpeg,0.2,0.25,0.22222222222222224,1,4,3
0039.jpeg,0.75,0.6,0.6666666666666665,3,1,2
0040.jpeg,0.25,0.2,0.22222222222222224,1,3,4
0041.jpg,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,5,5
0043.jpg,1.0,1.0,1.0,3,0,0
0044.jpg,0.6666666666666666,0.5,0.5714285714285715,2,1,2
0045.jpeg,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2
0046.jpeg,0.5,0.42857142857142855,0.4615384615384615,3,3,4
0047.jpg,0.25,0.2,0.22222222222222224,1,3,4
0049.jpg,0.5,0.4444444444444444,0.47058823529411764,4,4,5
0050.jpg,1.0,0.5714285714285714,0.7272727272727273,4,0,3
0051.jpg,1.0,1.0,1.0,2,0,0
0052.jpeg,0.3333333333333333,0.5,0.4,2,4,2
0054.jpg,0.25,0.3333333333333333,0.28571428571428575,1,3,2
0055.jpg,0.3333333333333333,0.4,0.3636363636363636,2,4,3
0057.jpg,0.0,0.0,0.0,0,4,7
0059.jpg,0.0,0.0,0.0,0,3,5
