file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc
0224.jpg,11,8,3,0.20346320346320346,0.3333333333333333,0.8384615384615385,0.3333333333333333
0225.jpg,7,3,3,0.0,0.0,1.0,1.0
0226.jpg,9,4,2,0.0,0.0,1.0,1.0
0227.jpg,8,5,3,0.027777777777777776,0.2222222222222222,1.0,0.6666666666666666
0228.jpg,8,14,8,0.09258192524321557,0.1958333333333333,0.91832497212932,0.6916666666666667
0229.jpg,8,7,4,0.1,0.25,0.9,0.75
0230.jpg,7,4,3,0.04301075268817204,0.4166666666666667,0.9761904761904763,0.6666666666666666
0231.jpg,10,4,0,,,,
0232.jpg,12,12,11,0.017255892255892254,0.1212121212121212,0.984504132231405,0.856060606060606
0233.jpg,8,8,5,0.0,0.0,1.0,1.0
0234.jpg,4,7,3,0.0392156862745098,0.06666666666666667,0.9743589743589745,0.7999999999999999
0235.jpg,8,13,3,0.12087912087912088,0.3333333333333333,0.892672858617131,0.4444444444444444
0236.jpg,5,5,4,0.02631578947368421,0.07142857142857142,0.9765625,0.9285714285714286
0237.jpg,8,7,6,0.012820512820512822,0.08333333333333333,0.9861111111111112,0.9166666666666666
0238.jpg,13,8,0,,,,
0239.jpg,11,7,2,0.2777777777777778,0.75,0.7722222222222221,0.0
0240.jpg,10,10,8,0.08740180711783145,0.16666666666666666,0.9320652173913044,0.6458333333333333
0241.jpg,17,8,5,0.016708023159636064,0.09,0.9871428571428572,0.75
0242.jpg,9,1,1,0.0,0.0,1.0,1.0
