image,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer
0209.jpg,9.0,7.0,2.0,0.2761555555555556,0.6111222222222222
0210.jpg,8.0,8.0,0.0,0.1509625,0.7916624999999999
0211.jpg,6.0,5.0,3.0,0.22164999999999999,0.44445
0212.jpg,9.0,3.0,1.0,0.6833888888888889,0.9259222222222222
0213.jpg,11.0,11.0,7.0,0.034800000000000005,0.4207818181818182
0214.jpg,11.0,2.0,0.0,0.8895181818181818,0.9350636363636364
0215.jpg,13.0,11.0,11.0,0.15384615384615385,0.15384615384615385
0216.jpg,12.0,10.0,3.0,0.2428916666666667,0.5625
0217.jpg,10.0,9.0,5.0,0.12559,0.32
0218.jpg,5.0,4.0,3.0,0.22222,0.3
0219.jpg,10.0,9.0,4.0,0.17562,0.40832999999999997
0220.jpg,10.0,10.0,9.0,0.00625,0.05
0221.jpg,9.0,4.0,2.0,0.5659,0.6944444444444444
0222.jpg,16.0,12.0,6.0,0.32655,0.54166875
0223.jpg,11.0,8.0,3.0,0.35563636363636364,0.6212090909090908
0224.jpg,11.0,9.0,3.0,0.31202727272727276,0.75
0225.jpg,7.0,6.0,2.0,0.26085714285714284,0.5952428571428572
0226.jpg,9.0,6.0,4.0,0.36331111111111114,0.4814777777777777
0227.jpg,8.0,8.0,5.0,0.0231875,0.3229125
0228.jpg,8.0,8.0,2.0,0.11546250000000001,0.4041625
0229.jpg,8.0,6.0,3.0,0.40313750000000004,0.5625
0230.jpg,7.0,4.0,2.0,0.4877571428571429,0.7142857142857143
0231.jpg,10.0,1.0,0.0,0.93529,1.0
0232.jpg,12.0,12.0,8.0,0.04243333333333333,0.215275
0233.jpg,8.0,8.0,3.0,0.0478,0.4
0234.jpg,4.0,3.0,1.0,0.31905,0.5625
0235.jpg,8.0,3.0,0.0,0.7186875,0.8833375
0236.jpg,5.0,4.0,3.0,0.21578,0.28572
0237.jpg,8.0,6.0,5.0,0.2596125,0.3125
0238.jpg,13.0,4.0,0.0,0.7724692307692307,0.9487153846153846
0239.jpg,11.0,3.0,0.0,0.7707090909090908,0.9545454545454546
0240.jpg,10.0,8.0,6.0,0.21545999999999998,0.43332999999999994
0241.jpg,17.0,12.0,4.0,0.3355941176470588,0.5053941176470588
0242.jpg,9.0,8.0,1.0,0.1927555555555555,0.4999888888888889
